id,komentar,cleaned_komentar,hasil_translate,score_negative,score_neutral,score_positive,compound,label
245,Oke banget sih tokonya,toko,the shop is very good,0.0,0.556,0.444,0.4927,Positif
246,Bagus banget ini pelayanannya,bagus layan,this is very good service,0.0,0.556,0.444,0.4927,Positif
247,"Kenapa bisa gini sih, zonk banget",kecewa,Why is this so disappointing?,0.507,0.493,0.0,-0.6269,Negatif
248,Bagus banget sih,bagus,really good,0.0,0.238,0.762,0.4927,Positif
249,"Netral aja sih, ga suka ga benci juga.",netral tidak suka tidak benci,"I'm just neutral, I don't like it, I don't hate it either",0.14,0.662,0.198,0.2235,Positif
250,"Kok jadi gini sih, ga sesuai ukuran",tidak sesuai ukur,"How come it's like this, it's not the right size",0.0,0.783,0.217,0.3612,Positif
251,Memuaskan banget pokoknya,muas pokok,very satisfying indeed,0.0,0.378,0.622,0.5095,Positif
252,"Gimana nih sih, ga cocok",tidak cocok,how come it doesn't fit?,0.345,0.655,0.0,-0.2755,Negatif
253,Mantap lah seller,mantap jual,great seller,0.0,0.196,0.804,0.6249,Positif
254,"Gimana nih sih, ga sama",tidak,how come it's not the same?,0.0,1.0,0.0,0.0,Netral
255,"Gila nih barang, gila bagusnya maksudnya!",gila barang gila bagus maksud,"It's crazy, it's crazy, it's good",0.449,0.28,0.271,-0.2263,Negatif
256,Tidak akan kecewa? Bohong. Justru sangat puas!,tidak kecewa bohong puas,"I won't be disappointed, I'm actually very satisfied",0.0,0.515,0.485,0.6855,Positif
257,Memuaskan sih barangnya,muas barang,I'm satisfied with the item,0.0,0.588,0.412,0.4215,Positif
258,"Gimana ini deh, cacat",cacat,how is this flawed?,0.547,0.453,0.0,-0.561,Negatif
259,"Gimana ini deh, ga sesuai pesanan",tidak sesuai pesan,How come this doesn't match the order?,0.0,1.0,0.0,0.0,Netral
260,Top banget ini tokonya,baik toko,this is the best shop,0.0,0.488,0.512,0.6369,Positif
261,"Kenapa bisa gini nih, ga sesuai warna",tidak sesuai warna,Why is it that the color doesn't match like this?,0.19,0.81,0.0,-0.2755,Negatif
262,Marvelous! Marvelously terrible!,marvelous marvelously terrible,marvelous marvelously terrible,0.388,0.125,0.487,0.2023,Positif
263,"Lumayan untuk daily use, tapi bukan yang terbaik.",lumayan daily use bukan baik,OK for daily use but not the best,0.364,0.479,0.157,-0.5552,Negatif
264,Mantap sih barangnya,mantap barang,it's great stuff,0.0,0.328,0.672,0.6249,Positif
265,"Gimana nih dong, ga sama",tidak,how come it's not the same?,0.0,1.0,0.0,0.0,Netral
266,Suka nih,suka,like this,0.0,0.286,0.714,0.3612,Positif
267,Recommended banget nih tokonya,rekomendasi toko,This shop is highly recommended,0.0,0.656,0.344,0.2716,Positif
268,"Ga nyesel, malah senang banget!",tidak sesal senang,"I don't regret it, I'm really happy",0.0,0.442,0.558,0.745,Positif
269,"Wow foto menarik, aslinya rusak!",wow foto tarik asli rusak,"wow interesting photo, the original is damaged",0.197,0.204,0.599,0.7096,Positif
270,Worth it deh produknya,padan it produk,the product is worth it,0.0,0.678,0.322,0.2263,Positif
271,Keren banget gw,keren,very cool to me,0.0,0.536,0.464,0.3804,Positif
272,"Barang original, packaging aman dan rapi. Mantap!",barang original packaging aman rapi mantap,"original product, safe and neat packaging",0.0,0.268,0.732,0.802,Positif
273,Bagus nih pelayanannya,bagus layan,this is good service,0.0,0.508,0.492,0.4404,Positif
274,Biasa aja sih,,it's just normal,0.0,1.0,0.0,0.0,Netral
275,"Wow, ga sesuai ekspektasi sama sekali. Kecewa!",wow tidak sesuai ekspektasi kecewa,"wow, not as expected, totally disappointed",0.303,0.357,0.339,0.1045,Positif
276,"Kok bisa gini dong, ga sama",tidak,How come it's not the same like this?,0.232,0.768,0.0,-0.2755,Negatif
277,Terrible? Terribly good! Puas banget!,terrible terribly good puas,terrible terrible good very satisfied,0.47,0.076,0.454,-0.0534,Negatif
278,Mantap pokoknya pelayanannya,mantap pokok layan,great service,0.0,0.196,0.804,0.6249,Positif
279,Mantap banget ini pelayanannya,mantap layan,This service is really great,0.0,0.477,0.523,0.659,Positif
280,"Kenapa jadi gini, kecewa parah",kecewa parah,why are you so disappointed?,0.499,0.501,0.0,-0.6113,Negatif
281,"Kok bisa gini dong, kecewa parah",kecewa parah,How can you be so disappointed?,0.444,0.556,0.0,-0.6113,Negatif
282,Gimana ya zonk total,kecewa total,what a total disappointment,0.545,0.455,0.0,-0.5563,Negatif
283,"Kenapa bisa gini, ga sesuai foto",tidak sesuai foto,How come this doesn't match the photo?,0.0,1.0,0.0,0.0,Netral
284,Keren lah kualitasnya,keren kualitas,cool quality,0.0,0.303,0.697,0.3182,Positif
285,Puas deh pelayanannya,puas layan,satisfied with the service,0.0,0.517,0.483,0.4215,Positif
286,Kok gini? Ga sesuai pesanan!,tidak sesuai pesan,How come this doesn't match the order?,0.0,1.0,0.0,0.0,Netral
287,"Gimana nih sih, ga sesuai warna",tidak sesuai warna,How come the color doesn't match?,0.0,1.0,0.0,0.0,Netral
288,Kualitas premium! Harga juga masih affordable.,kualitas premium harga affordable,"Premium quality, price is still affordable",0.0,1.0,0.0,0.0,Netral
289,"Amazing, amazingly bad!",amazing amazingly bad,amazingly amazingly bad,0.671,0.329,0.0,-0.6214,Negatif
290,Oke emang pelayanannya,layan,good service indeed,0.0,0.408,0.592,0.4404,Positif
291,"Ya gitu, ada yang oke ada yang kurang.",kurang,"Yes, there is something good, there is something lacking",0.0,0.556,0.444,0.6808,Positif
292,"Kenapa bisa gini ya, ga sesuai ekspektasi",tidak sesuai ekspektasi,How come this doesn't match expectations?,0.0,1.0,0.0,0.0,Netral
293,"Biasa aja sih, produk standar.",produk standar,just a standard product,0.0,1.0,0.0,0.0,Netral
294,Recommended pokoknya tokonya,rekomendasi pokok toko,Recommended shop anyway,0.0,0.526,0.474,0.2023,Positif
295,"Kok bisa gini ya, ga pas",tidak pas,"how can it be like this, it's not right",0.0,0.762,0.238,0.3612,Positif
296,Suka banget gw pembeliannya,suka beli,I really like my purchase,0.0,0.589,0.411,0.4201,Positif
297,"Kok jadi gini dong, jelek banget",jelek,How come it's so ugly like this?,0.353,0.416,0.231,-0.3534,Negatif
298,"Kenapa gini sih, ga pas",tidak pas,why is this not right?,0.0,1.0,0.0,0.0,Netral
299,Senang memang,senang,happy indeed,0.0,0.213,0.787,0.5719,Positif
300,"Kok jadi gini, ga sesuai deskripsi",tidak sesuai deskripsi,How come it doesn't match the description?,0.0,1.0,0.0,0.0,Netral
